state,date,cases,deaths,incidence
NC,2020-07-31 00:00:00,122298,1942,1166.066175671362
ND,2020-07-31 00:00:00,6469,103,848.8810621707945
OH,2020-07-31 00:00:00,91159,3489,779.863291442455
OK,2020-07-31 00:00:00,36487,541,922.094197809385
OR,2020-07-31 00:00:00,18492,322,438.4341650510689
PA,2020-07-31 00:00:00,116787,7207,912.2566813641223
PR,2020-07-31 00:00:00,16781,219,572.0649838004124
RI,2020-07-31 00:00:00,19022,1007,1795.6107502541627
SC,2020-07-31 00:00:00,89016,1712,1728.8977402900996
SD,2020-07-31 00:00:00,8764,130,990.6641994259936
TN,2020-07-31 00:00:00,105959,1060,1551.5639226647324
TX,2020-07-31 00:00:00,438293,6576,1511.569867458071
UT,2020-07-31 00:00:00,40196,304,1253.7905986291773
VT,2020-07-31 00:00:00,1414,57,226.6065587694655
VA,2020-07-31 00:00:00,89888,2174,1053.105265186569
WA,2020-07-31 00:00:00,55803,1564,732.8139738798692
WV,2020-07-31 00:00:00,6579,116,367.1015826268716
WI,2020-07-31 00:00:00,52940,934,909.2417363597424
WY,2020-07-31 00:00:00,2726,26,471.00779426324254
AL,2020-07-30 00:00:00,85762,1565,1749.1079777736306
AK,2020-07-30 00:00:00,2879,23,393.5506359827488
AZ,2020-07-30 00:00:00,170798,3626,2346.539919054416
AR,2020-07-30 00:00:00,41759,442,1383.7545446954143
CA,2020-07-30 00:00:00,492934,9026,1247.5481321311636
CO,2020-07-30 00:00:00,46186,1822,802.0162757938547
CT,2020-07-30 00:00:00,49670,4431,1393.1557263131974
DE,2020-07-30 00:00:00,14689,581,1508.476386475573
DC,2020-07-30 00:00:00,12057,584,1708.39774480729
FL,2020-07-30 00:00:00,461379,6586,2148.17324562639
GA,2020-07-30 00:00:00,182286,3671,1716.8572826004956
HI,2020-07-30 00:00:00,1989,26,140.4788003435339
ID,2020-07-30 00:00:00,20242,177,1132.6952293285358
IL,2020-07-30 00:00:00,178135,7670,1405.756915284709
IN,2020-07-30 00:00:00,65253,2946,969.264368850746
IA,2020-07-30 00:00:00,44285,865,1403.6138659364135
KS,2020-07-30 00:00:00,26885,357,922.8322110146727
KY,2020-07-30 00:00:00,29386,731,657.7473328956708
LA,2020-07-30 00:00:00,114481,3925,2462.5956753514997
ME,2020-07-30 00:00:00,3888,122,289.2400901048347
MD,2020-07-30 00:00:00,87177,3488,1441.9717881197814
MA,2020-07-30 00:00:00,117098,8580,1692.9118492948062
MI,2020-07-30 00:00:00,89781,6443,898.9915445870507
MN,2020-07-30 00:00:00,53692,1634,952.0479350425702
MS,2020-07-30 00:00:00,57579,1611,1934.6813617194568
MO,2020-07-30 00:00:00,49139,1255,800.6448303751994
MT,2020-07-30 00:00:00,3814,55,356.85614786232503
NE,2020-07-30 00:00:00,25766,328,1331.9837386942156
NV,2020-07-30 00:00:00,46824,801,1520.1827439908886
NH,2020-07-30 00:00:00,6544,415,481.2787423209785
NJ,2020-07-30 00:00:00,180970,15809,2037.4479717276931
NM,2020-07-30 00:00:00,20388,635,972.3253541418973
NY,2020-07-30 00:00:00,414370,32683,2130.047038688701
NC,2020-07-30 00:00:00,120532,1922,1149.2280191501136
ND,2020-07-30 00:00:00,6301,103,826.8356118006146
OH,2020-07-30 00:00:00,89626,3442,766.7485092949843
OK,2020-07-30 00:00:00,35740,536,903.2161216243436
OR,2020-07-30 00:00:00,18131,316,429.8750728174848
PA,2020-07-30 00:00:00,115807,7194,904.6016208887539
PR,2020-07-30 00:00:00,16572,214,564.9401651594324
RI,2020-07-30 00:00:00,18950,1007,1788.8142002584577
SC,2020-07-30 00:00:00,87572,1667,1700.8519020477734
SD,2020-07-30 00:00:00,8685,129,981.7342049309397
