,state_x,date,total,covid,pct,rolling_pct,state_y,cases,deaths,incidence,rolling_incidence
187,Massachusetts,2020-10-17,1917,555,0.2895148669796557,0.2818420119024062,MA,584.0,21.0,8.472974186590818,9.372502268043794
188,Massachusetts,2020-10-18,2115,607,0.28699763593380617,0.2718809792320236,MA,730.0,14.0,10.591217733238864,10.06407493281722
189,Massachusetts,2020-10-19,4171,936,0.22440661711819707,0.266973040010553,MA,828.0,16.0,12.013052442632215,10.359081454153966
190,Massachusetts,2020-10-20,4981,1159,0.23268419995984743,0.24802948433728358,MA,976.0,5.0,14.160313024165589,12.25486106667889
191,Massachusetts,2020-10-21,4917,1176,0.23917022574740696,0.23208701427515052,MA,702.0,22.0,10.184979244840633,12.119448237212813
192,Massachusetts,2020-10-22,4323,1198,0.2771223687254222,0.24965893147755888,MA,1049.0,30.0,15.219434797488248,13.188242355498156
193,Massachusetts,2020-10-23,3811,1027,0.26948307530831805,0.2619252232603824,MA,1070.0,20.0,15.524113663788285,13.642842568705722
194,Massachusetts,2020-10-24,1977,715,0.3616590794132524,0.3027548411489976,MA,1203.0,9.0,17.453746483679424,16.065764981651984
195,Massachusetts,2020-10-25,2078,777,0.3739172281039461,0.33501979427517226,MA,1077.0,25.0,15.625673285888297,16.20117781111867
196,Massachusetts,2020-10-26,3951,1037,0.2624651986838775,0.3326805020670254,MA,1212.0,17.0,17.58432314066431,16.88791430341068
197,Massachusetts,2020-10-27,4643,1011,0.21774714624165412,0.28470985767649265,MA,1260.0,7.0,18.28073197791855,17.163576134823717
198,Massachusetts,2020-10-28,4296,1051,0.2446461824953445,0.2416195091402921,MA,1181.0,36.0,17.134559099938087,17.666538072840314
199,Massachusetts,2020-10-29,4239,919,0.21679641424864354,0.2263965809952141,MA,1346.0,27.0,19.52846447799857,18.31458518528507
200,Massachusetts,2020-10-30,3836,799,0.20828988529718456,0.2232441606803909,MA,1582.0,24.0,22.952474594498653,19.871832724145104
201,Massachusetts,2020-10-31,1329,482,0.36267870579382994,0.2625883351132194,MA,1430.0,16.0,20.747179943192805,21.076039671896677
202,Massachusetts,2020-11-01,1501,430,0.2864756828780813,0.28581475798969863,MA,1131.0,22.0,16.409133227798065,20.03626258849651
203,Massachusetts,2020-11-02,4151,949,0.22861960973259454,0.29259133280150196,MA,842.0,10.0,12.216171686830876,16.45749495260725
204,Massachusetts,2020-11-03,5250,990,0.18857142857142858,0.2345555737273682,MA,1036.0,12.0,15.030824070733615,14.552042995120852
205,Massachusetts,2020-11-04,4181,751,0.17962209997608228,0.19893771276003516,MA,1714.0,27.0,24.86759889694622,17.37153155150357
206,Massachusetts,2020-11-05,3342,735,0.2199281867145422,0.1960405717540177,MA,1862.0,23.0,27.014859478480048,22.304427482053296
207,Massachusetts,2020-11-06,3735,534,0.1429718875502008,0.1808407247469418,MA,2113.0,21.0,30.656497356620548,27.512985244015606
208,Massachusetts,2020-11-07,1706,443,0.2596717467760844,0.20752394034694252,MA,2302.0,23.0,33.3986071533086,30.356654662803066
209,Massachusetts,2020-11-08,1884,480,0.25477707006369427,0.21914023479665987,MA,1823.0,20.0,26.44902729821115,30.168043936046768
210,Massachusetts,2020-11-09,3532,809,0.22904869762174404,0.2478325048205076,MA,1328.0,14.0,19.267311164027888,26.37164853851588
211,Massachusetts,2020-11-10,2829,568,0.20077765995051255,0.22820114254531698,MA,2154.0,21.0,31.251346571774775,25.655895011337936
